stock_code,公司名稱,stock_name,外國企業註冊地國,產業別,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額,私募股數,特別股,編制財務報表類型,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,網址,已發行普通股數或TDR原股發行股數,上市上櫃
1608,華榮電線電纜股份有限公司,華榮,－ ,6,高雄巿前金區中正四路170號,79460007,王宏仁,黃華志,黃華志,總經理,劉秀美,07-2814161,19561208,19880711,新台幣                 10.0000元,6327735060,0,0,1,本公司股務課,02-27717611,台北巿南京東路三段210號11樓,安侯建業聯合會計師事務所,陳永祥,蘇彥達,HE,"170,CHUNG CHENG 4TH ROAD,KAOHSIUNG,TAIWAN,R.O.C.",07-2818871,he520@hegroup.com.tw,http://www.hegroup.com.tw,632773506,上市
1609,大亞電線電纜股份有限公司,大亞,－ ,6,台南市關廟區中山路二段249號,68035907,沈尚弘,沈尚宜,陳重光,總管理處處總經理,洪崇銘,06-5953131,19621107,19881212,新台幣                 10.0000元,7736570870,0,0,1,凱基證券股份有限公司,02-23892999,台北市重慶南路一段二號五樓,群智聯合會計師事務所,呂松裕,吳乾萌,TA YA,"249 Chung Shan Rd.,KuanMaiohsiang,TainanHsien,Taiwan,ROC",06-5958190,stock@mail.taya.com.tw,www.taya.com.tw,773657087,上市
1611,中國電器股份有限公司,中電,－ ,6,台北市行善路124號2樓,3086001,廖銘輝,吳一麟代理,黃至賢,經理,王志崧,(02)27191188,19550201,19900116,新台幣                 10.0000元,3227357420,0,0,1,群益金鼎證券股份有限公司,02-2702-3999,台北市大安區敦化南路二段97號B2,勤業眾信聯合會計師事務所,陳昭宇,謝東儒,CE,"2F, No. 124, Xingshan Road, Taipei CityTAIPEI,TAIWAN",(02)27137111,eservice@chinaelectric.com.tw,http://www.chinaelectric.com.tw,322735742,上市
1612,宏泰電工股份有限公司,宏泰,－ ,6,桃園市328觀音區樹林里國建一路2號,43125162,久疆投資股份有限公司,黎文斌,潘少屏,營運長,陳良驊,(02)27011000,19680808,19930508,新台幣                 10.0000元,3160800630,0,0,1,福邦證券(股)公司,(02)2371-1658,100台北市中正區忠孝西路ㄧ段6號6樓,安永聯合會計師事務所,劉榮進,楊弘斌,HONG TAI,"20F., NO.65, SEC2,  DUNHUA S. RD., DA'AN DIST., TAIPEI CITY106, TAIWAN R.O.C.TAIPEI TAIWAN R.O.C.",(02)27081100,managerdep@hong-tai.com.tw,www.hong-tai.com.tw,316080063,上市
1614,台灣三洋電機股份有限公司,三洋電,－ ,6,台北市中山區松江路266號10F,3564501,李文峰,李文琳,林張惠,協理,林陳勝,(02)25210251,19630213,19970918,新台幣                 10.0000元,2691134060,0,0,1,華南永昌綜合證券股份有限公司,(02)2718-6425,台北市松山區民生東路四段54號4樓,資誠聯合會計師事務所,陳晉昌,廖福銘,Taiwan Sanyo,"10F,NO. 266,Sung Chiang Road,Taipei,Taiwan,R.O.C",(02)25119935,san3@sanyo.com.tw,https://sanlux.com.tw/,269113406,上市
1615,大山電線電纜股份有限公司,大山,－ ,6,雲林縣斗六市雲林路三段369號,64829434,蘇文彬,蘇文彬,張國忠,協理,謝彩芬,05-5222331,19740415,20000330,新台幣                 10.0000元,1872987640,0,0,1,凱基證券股份有限公司,02-23892999,台北市重慶南路一段二號五樓,安侯建業聯合會計師事務所,陳盈如,郭柔蘭,Dah  San,"NO.369 Sec. 3 Yun-Lin Rd. Douliou CityYunlin County , Taiwan,(R.O.C)",05-5220478,fin1615@dahsan.com.tw,http://www.dahsan.com.tw,187298764,上市
1616,億泰電線電纜股份有限公司,億泰,－ ,6,台北市中正區仁愛路二段九十一巷一號一樓,22819700,王銀河,張程浩(代理),王銀河,董事長,鄒玫君,02-2321-8855,19880321,20000911,新台幣                 10.0000元,1941485150,0,0,1,元富證券股份有限公司,02-2768-6668,台北市松山區光復北路11巷35號地下一樓,安侯建業聯合會計師事務所,黃泳華,余聖河,EVERTOP,"1F, No. 1, Lane 91, Sec. 2, Ren-Ai Rd.,Taipei 100 , Taiwan, R.O.C.",02-2321-3236,evertopf@ms27.hinet.net,http://www.evertop.com,194148515,上市
1617,榮星電線工業股份有限公司,榮星,－ ,6,台南市仁德區中正路三段231號,73341336,王東澤,邱守基,薛添得,協理,黃維民,06-2705211,19710717,20000911,新台幣                 10.0000元,1695147000,0,0,1,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段83號5樓,安侯建業聯合會計師事務所,蘇彥達,許振隆,JSW,"231,Sec.3,Chung-Cheng RD.,Jen-Teh District ,Tainan CityTainan City,717 TAIWAN,R.O.C.",06-2700599,frank@nt1.jswire.com.tw,http://www.jswire.com.tw,169514700,上市
1618,合機電線電纜股份有限公司,合機,－ ,6,台北市中山區復興南路一段36之9號3樓,23206102,李新政,郭晉勳,周亭儀,財務主管,林淑萍,02-23956603,19890301,20000911,新台幣                 10.0000元,1926917470,0,0,1,康和綜合證券股份有限公司,02-87871888,台北巿信義區基隆路1段176號B1,勤業眾信聯合會計師事務所,莊文源,陳致源,HK,"3F., No. 36-9, Sec. 1, Fusing S. Rd., Jhongshan Dist., Taipei City 104, TaiwanTAIPEI,TAWAN,R.O.C.",02-23563700,ir@hold-key.com.tw,WWW.HOLD-KEY.COM.TW,192691747,上市
1626,艾美特(開曼)國際有限公司,艾美特-KY,KY 開曼群島                                                    ,6,台南市新忠路11號,34995738,史瑞斌,史瑞斌,莊亞菘,集團投資關係室經理,史瑞斌,8.68E+12,20040311,20130321,新台幣                 10.0000元,1498217210,0,0,1,中國信託商業銀行代理部,02- 6636 5566,台北市重慶南路1段83號5樓,資誠聯合會計師事務所,王國華,吳建志,AIRMATE,"NO.11 SHIN CHUNG ROAD, AN PING INDUSTRIAL DISTRICT,TAINAN.TAIWAN.R.O.CTAINAN.TAIWAN.R.O.C",8.68E+12,yasung@airmate-china.net,www.airmate-china.com,149821721,上市
1702,南僑投資控股股份有限公司,南僑,－ ,2,台北市延平北路四段100號,7305506,陳飛龍,李勘文,李勘文,總經理,尚待選任,(02)6619-3000,19500630,19730530,新台幣                 10.0000元,2941329620,0,0,1,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5樓,安侯建業聯合會計師事務所,吳仲舜,張純怡,NAMCHOW,"NO.100 Yen-ping North Road,sec4TAIPEI,TAIWAN,ROC",(02)2535-1970,ncgfin@ms4.hinet.net,www.namchow.com.tw,294132962,上市
1707,葡萄王生技股份有限公司,葡萄王,－ ,22,桃園市平鎮區金陵路二段402號,11880517,曾盛麟,曾盛麟,洪俊銘,財務長兼公司治理主管,許勝傑,03-4572121,19710401,19821220,新台幣                 10.0000元,1481373730,0,0,1,群益金鼎證券股份有限公司,02-27023999,10601台北市大安區敦化南路二段97號B2,勤業眾信聯合會計師事務所,鍾鳴遠,&#28201;智源,GKB,"No.402, Sec. 2, Jinling Rd.Pingzhen Dist., Taoyuan City 324, Taiwan",03-4572128,gkishares@grapeking.com.tw,http://www.grapeking.com.tw,148137373,上市
1708,東南實業股份有限公司,東鹼,－ ,21,台北市敦化南路2段99號23樓,11384405,陳榮元,劉志勇,朱經雲,經理,李燕玲,27047272,19570302,19860616,新台幣                 10.0000元,2490016510,0,0,1,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路1段83號5樓,安侯建業聯合會計師事務所,黃明宏,陳雅琳,SESODA,"23F,No.99 ,Sec 2,Dunhua S. RD.,Taipei, Taiwan",27043380,taipei@sesoda.com.tw,www.sesoda.com.tw,249001651,上市
1709,和益化學工業股份有限公司,和益,－ ,21,台北市萬華區柳州街80號7樓,4312878,黃勝材,李宏德,黃俊哲,資深協理,林立人協理,02-25071234,19730621,19860703,新台幣                 10.0000元,4770162720,0,0,1,華南永昌綜合證券股務代理部,02-2718-6425,台北市松山區民生東路四段54號4樓,勤業眾信聯合會計師事務所,莊文源,龔則立,FUCC,"7F.,NO. 80, LIUZHOU ST., WANHUA DIST.,TAIPEI,TAIWAN R.O.C",02-25071664,fucc@fucc.com.tw,http://www.fucc.com.tw,477016272,上市
1710,東聯化學股份有限公司,東聯,－ ,21,台北市復興北路101號13樓,14057995,徐旭東,蔡錫津,俞瀛琁,協理,蔣中瑋,02-27193333,19751222,19871021,新台幣                 10.0000元,8857030290,0,0,1,亞東證券,02-77531699,新北市板橋區新站路16號13樓,勤業眾信會計師事務所,陳培德,劉紋伶,OUCC,13TH FL. 101 FU-HSING N. RD.TAIPEI R.O.C,02-27191858,ir@oucc.com.tw,http://www.oucc.com.tw,885703029,上市
1711,臺灣永光化學工業股份有限公司,永光,－ ,21,台北市敦化南路二段77號5~6樓,15458455,陳建信,陳偉望,翁國彬,財務處處長,李明文,(02)27066006,19720907,19881227,新台幣                 10.0000元,5477522260,0,0,1,兆豐證券股務代理部,02-33930898,台北市忠孝東路二段95號1樓,安侯建業聯合會計師事務所,黃明宏,唐嘉鍵,EVERLIGHT,"5~6Floor,No.77,Sec.2,Tun Hua South RoadTaipei,Taiwan,Republic of China",02-27081254,finance@ecic.com.tw,https://www.ecic.com/,547752226,上市
1712,興農股份有限公司,興農,－ ,21,臺中市大肚區南榮路101號1樓,51911712,顏子芳,李乾&#29641;,余奎儒,投資人關係主管,賴慧娟,04-26933841,19631120,19891214,新台幣                 10.0000元,4204925850,0,0,1,群益金鼎證券股份有限公司,02-27023999,台北市敦化南路二段97號地下二樓,勤業眾信聯合會計師事務所,蔣淑菁,劉力維,SINON,"No.101, Nanrong Road, Dadu District,Taichung City 43245, Taiwan (R.O.C.)",04-26937639,stock@sinon.com.tw,www.sinon.com.tw,420492585,上市
1713,國泰化工廠股份有限公司,國化,－ ,21,台北市忠孝東路四段320號12樓,3375001,應柔爾,洪志成,洪志成,總經理,蔡淑貞,(02)27811161,19621211,19900131,新台幣                 10.0000元,1509517000,0,0,2,兆豐證券(股)公司股務代理部,(02)33930898,台北市忠孝東路二段95號1樓,安永聯合 會計師事務所,劉慧&#23250;,王瑄瑄,CCW,"12F,320,Section 4, Chung Hsiao East RoadTaipei,Taiwan",(02)27520332,cathay@cathaychem.com.tw,www.ccwi.com.tw,150951700,上市
1714,和桐化學股份有限公司,和桐,－ ,21,高雄市仁武區竹後里竹工二巷1號,12526607,張立秋,陳怡如,林惠燕,會計部資深經理,廖淑惠,89769268,19800801,19910830,新台幣                 10.0000元,10168248080,0,0,1,和桐化學股份有限公司,89769289,新北市五股區中興路一段六號1樓,資誠聯合會計師事務所,徐明釧,黃金連,HO TUNG,"No.1, Zhugong 2nd Ln., Renwu Dist.,Kaohsiung City, Taiwan (R.O.C.)",89769269,lin@htgroup.com.tw,www.htgroup.com.tw,1016824808,上市
1717,長興材料工業股份有限公司,長興,－ ,21,高雄市三民區建工路578號,75339004,高國倫,毛惠寬,劉秉誠,財務部部長,朱瑞欣,07-3838181,19641203,19940331,新台幣                 10.0000元,11782654830,0,0,1,統一綜合證券股份有限公司,02-27478266,台北市松山區東興路8號B1,勤業眾信聯合會計師事務所,王兆群,劉裕祥,ETERNAL,"578 CHIEN-KUNG RD.KAOHSIUNG,TAIWAN",07-3898133,investor@eternal-group.com,https://www.eternal-group.com/Home,1178265483,上市
1718,中國人造纖維股份有限公司,中纖,－ ,21,高雄市大社區經建路8號,7066907,王貴賢,王皆誼,吳宏揚,副總經理,吳莉雯,02-23937111,19550511,19631202,新台幣                 10.0000元,16859057450,0,0,1,本公司股務課,02-23937111,台北市新生南路一段五十號十一樓,勤業眾信聯合會計師事務所,劉書琳,王攀發,CMFC,"NO.8, JINGJIAN RD., DASHE DIST.,KAOHSIUNG, TAIWAN",02-23972549,tommy-wang@cmfc.com.tw,www.cmfc.com.tw,1685905745,上市
1720,生達化學製藥股份有限公司,生達,－ ,22,台南市新營區土庫里土庫6-20號,71122503,范滋庭,范滋庭,范滋庭,總經理,陳淑華,(06)636-1516,19670630,19951212,新台幣                 10.0000元,1786960890,0,0,1,元富證券股份有限公司,227686668,台北市松山區光復北路11巷35號地下一樓(台北瓦斯光復大樓),資誠聯合會計師事務所,田中玉,葉芳婷,S.C.P.C,"No.6-20,Tuku.,Tuku VillageSinying Dist.,Tainan City 73055,Taiwan",66352817,Chang.Chinwen@standard.com.tw,http://www.standard.com.tw,178696089,上市
1721,三晃股份有限公司,三晃,－ ,21,台中市西區中興街229號5樓,55738290,黃亭棣,張俊彬,洪廷宜,管理部經理,王婷渝,(04)23215616,19741231,19960516,新台幣                 10.0000元,1848840920,19168520,0,1,永豐金證券股份有限公司,02-23816288,台北市中正區博愛路17號3樓,安永聯合會計師事務所,陳明宏,黃子評,SUNKO,"5F., NO. 229, ZHONGXING ST., WEST DISTTAICHUNG CITY 403, TAIWAN  R.O.C",(04)23109292,sunko@sunko.com.tw,http://www.sunko.com.tw,184884092,上市
1722,台灣肥料股份有限公司,台肥,－ ,21,台北市南港區經貿一路170號17樓,3795101,李孫榮,張滄郎,鍾俊銘,副總經理,黃美玲,25422231,19460501,19980324,新台幣                 10.0000元,9800000000,0,0,1,福邦證券股份有限公司股務代理部,02-23711658,台北市中正區忠孝西路一段6號6樓,安侯建業聯合會計師事務所,陳宗哲,黃欣婷,TFC,"17F., No. 170, Jingmao 1st Rd., Nangang Dist.,TAIPEI, TAIWAN, R.O.C",2563-4597,tfcf0001@ms22.hinet.net,www.taifer.com.tw,980000000,上市
1723,中鋼碳素化學股份有限公司,中碳,－ ,21,高雄市前鎮區成功二路88號25樓,23221384,黃建智,方明達,陳宜宏,副總經理,郭麗莉,(07)3383515,19890203,19981127,新台幣                 10.0000元,2369044800,0,0,1,群益金鼎證券股份有限公司,(02)2703-5000,106台北巿大安區敦化南路2段97號B2,勤業眾信會計師事務所,王兆群,廖鴻儒,CSCC,"25F,88 Chengong 2nd Rd,QianzhenKaohsiung,ROC",07-5354706,lilykuo@e-cscc.com.tw,www.cscc.com.tw,236904480,上市
1725,元禎企業股份有限公司,元禎,－ ,21,台北市民生東路四段五十四號三樓之三,12132033,許元禎,姚永康,張慶農,協理,李文堯,(02)27172222,19770720,20000911,新台幣                 10.0000元,1818299780,0,0,1,華南永昌綜合證券(股)股務代理部,02-27186425,台北市民生東路四段五十四號四樓,勤業眾信聯合會計師事務所,陳&#34103;旬,張淳儀,YJE,"3-3FL.,NO.54,SEC.4,MIN SHENG EAST ROADTAIPEI,TAIWAN,R.O.C.",02-27187995,042@yuanjen.com.tw,http://www.yuanjen.com/,181829978,上市
1726,永記造漆工業股份有限公司,永記,－ ,21,高雄市小港區沿海三路26、28號,75137605,張德仁,陳弘偉,陳弘偉,總經理,張德仁,07-8713181,19570529,20000911,新台幣                 10.0000元,1620000000,0,0,1,群益金鼎證券股份有限公司,02-27023999,台北市敦化南路二段97號地下二樓,勤業眾信聯合會計師事務所,許瑞軒,劉裕祥,Y.C.P.,"No. 26,28, Yanhai 3rd Rd., Xiaogang Dist., Kaohsiung City, TaiwanTAIWAN,R.O.C.",07-8715443,hwchen@mail.rainbowpaint.com.tw,www.rainbowpaint.com.tw,162000000,上市
1727,臺灣中華化學工業股份有限公司,中華化,－ ,21,桃園市觀音區樹林里工業五路15號,3558206,干文元,干凱恩,干凱恩,總經理,程清安,03-4761266,19561030,20000911,新台幣                 10.0000元,1253654790,0,0,2,永豐金證券股份有限公司,02-23816288,台北市中正區博愛路17號3樓,大中國際聯合會計師事務所,高國晟,許伯彥,CHCIW,"No.15, Gongye 5th Rd., Guanyin Dist., Taoyuan City 328, Taiwan (R.O.C.)TAOYUAN, TAIWAN, R.O.C",03-4761316,chung-hwa@chciw.com.tw,www.chciw.com.tw,125365479,上市
1730,花仙子企業股份有限公司,花仙子,－ ,21,台北市大同區承德路三段230號13樓,7708830,蔡心心,王佳郁,王佳郁,副董事長,林秋玲,2592-2860,19830524,20010917,新台幣                 10.0000元,632338510,0,0,1,中國信託商業銀行,(02)66365566,台北市重慶南路一段83號五樓,國富浩華聯合會計師事務所,林松樹,張亞荃,FARCENT,"13F, NO.230, SEC. 3, CHENGDE RD., DA TONG DIST.TAIPEI, TAIWAN.",2594-4800,lilian@farcent.com.tw,WWW.FARCENT.COM.TW,63233851,上市
1731,美吾華股份有限公司,美吾華,－ ,22,台北市復興北路167號5樓,14089976,李成家,賴育儒,賴育儒,總經理,林世杰,02-2713-6621,19761001,20010917,新台幣                 10.0000元,1329152440,0,0,1,福邦證券股份有限公司,02-2371-1658,台北市中正區忠孝西路一段６號６樓,勤業眾信聯合會計師事務所,黃海悅,虞成全,Maywufa,"Fl. 5, No. 167, Fu-shing N. Rd.,Taipei, Taiwan, ROC.",02-2715-2181,ann.chen@maywufa.com.tw,http://www.maywufa.com.tw,132915244,上市
1732,毛寶股份有限公司,毛寶,－ ,21,新竹縣湖口鄉實踐路19號,34245356,吳瑞華,陳逸弘,陳宣汝,經理,趙佳玲,(02)8976-2277,19781206,20010917,新台幣                 10.0000元,424439570,0,0,1,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段八十三號五樓,資誠聯合會計師事務所,阮呂曼玉,馮敏娟,Mao Bao,"19F., No. 97,   Sec. 4, Chongsin Rd., Sanchong CityTaipei County, 241, Taiwan (R.O.C.)",(02)8976-2715,iris@maobao.com.tw,www.maobao.com.tw,42443957,上市
1733,五鼎生物技術股份有限公司,五鼎,－ ,22,新竹科學園區新竹巿力行五路七號,16130182,沈燕士,沈燕士,吳純慧,管理部副總,朱營祥,03-5641952,19971202,20010917,新台幣                 10.0000元,999501920,0,0,1,台新綜合證券(股)公司股務代理部,02-25048125,台北市建國北路一段96號地下一樓,勤業眾信會計師事務所,張雅芸,黃裕峰,ApexBio,"No.7,Li-Hsin Rd.V, Hsinchu Science Park,Hsinchu,Taiwan, ROC",03567-8302,info@apexbio.com,www.apexbio.com.tw,99950192,上市
1734,杏輝藥品工業股份有限公司,杏輝,－ ,22,宜蘭縣冬山鄉中山村中山路八十四號,42042734,李志文,白友烺,陳至孝,財務長,李宛頻,(03)958-1101,19770702,20020826,新台幣                 10.0000元,1811397840,0,0,1,永豐金證券(股)公司股務代理部,(02)2381-6288,台北市中正區博愛路17號3樓,國富浩華聯合會計師事務所,張亞荃,周伯儒,SINPHAR　,"84 CHUNG SHAN RD.,CHUNG SHAN VILLAGE. ,TUNG-SHAN SHINE , I-LAN  269 , TAIWAN.",(03)9580-187,info@sinphar.com,www.sinphar.com,181139784,上市
1735,日勝化工股份有限公司,日勝化,－ ,21,南投市南崗工業區工業南二路七號,23263551,何文杰,黃長澤,吳寶華,行政處協理,何韓任,049-2255357,19890515,20020826,新台幣                 10.0000元,993880000,0,0,1,凱基證券股份有限公司,02-23148800,台北市重慶南路一段二號四樓,勤業眾信聯合會計師事務所,蔣淑菁,蘇定堅,　　EMC,"　　NO.7,INDUSTRIAL  SOUTH 2ND ROAD　　NAN-TOU.TAIWAN,R.O.C.",049-2253912,baohua@twemc.com.tw,www.twemc.com,99388000,上市
1736,喬山健康科技股份有限公司,喬山,－ ,37,台中市大雅區東大路二段999號,52347361,羅崑泉,羅光廷,羅雅芳,副總經理,林靜霓,04-25667100,19751007,20030109,新台幣                 10.0000元,3033946170,0,0,1,台新證券股務代理部,02-25048125,北市建國北路一段96號B1,安永聯合會計師事務所,黃子評,陳明宏,JHT　　,"No.999, Sec. 2, Dongda Rd., Daya Dist.,Taichung City 428, Taiwan, R.O.C.　　",04-25667534,finance@johnsonfitness.com,www.johnsonfitness.com,303394617,上市
1737,臺鹽實業股份有限公司,臺鹽,－ ,2,台南市南區健康路一段297號,89397503,丁彥哲,0,李杰翰,副總經理,蘇薇,06-2160688,19950701,20031118,新台幣                 10.0000元,2000000000,0,0,1,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段83號5樓,安永聯合會計師事務所,姚世傑,李芳文,Taiyen,"No.297, Sec. 1, Chien-Kang Rd., South Dist,Tainan 　TAINAN , TAIWAN , R.O.C.　　",06-2160678,service@tybio.com.tw,https://www.tybio.com.tw/,200000000,上市
1752,南光化學製藥股份有限公司,南光,－ ,22,台南市新化區中山路1001號,69275313,陳立賢,王玉杯,王桂芬,處長,陳本忠,06-5984121,19730820,20220119,新台幣                 10.0000元,1009884720,0,0,1,富邦綜合證券(股)公司股務代理部,02-23611300,台北市100中正區許昌街17號11樓,資誠聯合會計師事務所台南所,徐惠榆,葉芳婷,NANG KUANG　　,"1001, CHUNG SHAN ROAD, SINHUA  CHEN　　TAINAN  HSIEN  , TAIWAN , R.O.C",06-5981845,nkcp@ms15.hinet.net,http://www.nangkuang.com.tw,100988472,上市
1760,寶齡富錦生技股份有限公司,寶齡富錦,－ ,22,台北市南港區園區街3號16F(F棟),4742997,張立秋,江宗明,蔡重奇,營管處副總經理,王烽任,02-26558218,19760107,20180123,新台幣                 10.0000元,857390130,0,0,1,統一綜合證券(股)公司股務代理部,(02)2746-3797,台北市松山區東興路8號地下一樓,安侯建業聯合會計師事務所,呂莉莉,趙敏如,PBF,"16F., No.3, Yuanqu St., Nangang DistrictTAIPEI, TAIWAN, R.O.C.",02-26558318,service@pbf.com.tw,http://www.pbf.com.tw,85739013,上市
1762,中化合成生技股份有限公司,中化生,－ ,22,新北市樹林區東興街一號,3088704,王謝怡貞,魏慶鵬,陳應祈,業務處副總經理,王冠傑,86843318,19640519,20101220,新台幣                 10.0000元,775600000,0,0,1,元大證券股份有限公司股務代理部,25865859,臺北市大安區敦化南路2段67號地下一樓,資誠聯合會計師事務所,林柏全,謝瑋莉,CCSB,"1, TUNG-HSING ST.,SHU-LIN DIST., NEW TAIPEI CITY , TAIWAN",86843202,report@ccsb.com.tw,www.ccsb.com.tw,77560000,上市
1773,勝一化工股份有限公司,勝一,－ ,21,高雄市永安區永工一路5號,75970680,孫靜源,孫啟發,黃有慶,財務及行政副總經理,王興嘉,07-6219171,19790124,20090227,新台幣                 10.0000元,3000000000,0,0,1,台新綜合證券(股)公司股務代理部,02-2504-8125,台北市建國北路一段96號B1,國富浩華聯合會計師事務所,李國銘,李青霖,SHINY  CHEMICAL,"No.5,Yeong Gong 1st Rd,Yeong An Dist.,Kaohsiung 82841,Taiwan,R.O.C.",07-6222620,account@shinychem.com.tw,http://www.shinychem.com.tw/,300000000,上市
1776,展宇科技材料股份有限公司,展宇,－ ,21,新竹縣湖口鄉鳳凰村光復路71號,47061800,劉漢瀛,趙偉君,廖培宏,財務長,鄭琳鋒,03-5978899,19760424,20160509,新台幣                 10.0000元,601069520,0,0,1,兆豐證券股份有限公司,02-33930898,100台北市中正區忠孝東路二段95號1樓,勤業眾信聯合會計師事務所,方蘇立,葉東煇,Headway,"NO.71, GUANGFU RD., HSINCHU INDUSTRIAL PARK,HUKOU SHIANG,HSINCHU, TAIWAN, R.O.C.",03-5984878,liao@headway.com.tw,https://www.headway.com.tw,60106952,上市
1783,和康生物科技股份有限公司,和康生,－ ,22,桃園市龜山區科技一路88號,16749811,林詠翔,陳敬亭,陳嬿娟,行銷長,賴柏宏,03-3287222,19981203,20131220,新台幣                 10.0000元,896801150,8702040,0,1,元大證券股份有限公司,02-25865859,106臺北市大安區敦化南路2段67號地下一樓,資誠聯合會計師事務所,支秉鈞,賴宗羲,MBI,"No.88, Keji 1st Rd., Guishan Dist.,Taoyuan City 333, Taiwan (R.O.C.)",03-3287333,service@mbi.com.tw,www.mbi.com.tw,89680115,上市
1786,科妍生物科技股份有限公司,科妍,－ ,22,(806011)高雄市前鎮區南一路1號,13159100,韓開程,韓台賢,韓台賢,總經理,郭如玲,07-8232258,20011112,20131112,新台幣                 10.0000元,721916880,0,0,1,宏遠證券股份有限公司,02-2326-8818,台北市信義路四段236號3樓,安永聯合會計師事務所,洪國森,姚世傑,SVBI,"1, South 1th Rd., K.E.P.Z.Kaohsiung, Taiwan, R.O.C.",07-8232295,service@scivision.com.tw,www.scivision.com.tw,72191688,上市
1789,台灣神隆股份有限公司,神隆,－ ,22,南部科學園區台南市善化區南科八路一號,16130161,羅智先,盧麗安,遴選待補,遴選待補,王耀輝,06-5052888,19971111,20110929,新台幣                 10.0000元,7907392220,0,0,1,統一綜合證券股份有限公司,02-27463797,台北市松山區東興路8號地下1樓,資誠聯合會計師事務所,葉芳婷,徐惠榆,SPT,"No. 1 , Nan-Ke 8th Road , Southern Taiwan Science Park, Shan-Hua,Tainan, Taiwan, R.O.C.",06-5052897,investor@scinopharm.com.tw,www.scinopharm.com.tw,790739222,上市
1795,美時化學製藥股份有限公司,美時,－ ,22,臺北市信義區松仁路277號17樓,11456110,Vilhelm Robert Wessman,Petar Antonov Vazharov,沈燁,副總經理,曾憲忠,02-27005908,19660630,20191216,新台幣                 10.0000元,2670438120,0,0,1,中國信託商業銀行(股)公司代理部,02-66365566,台北市中正區重慶南路一段83號5樓,安侯建業聯合會計師事務所,鄭安志,周寶蓮,Lotus Pharm,"17F., No.277, SongRen Rd., Xin'yi Dist.Taipei City 110, Taiwan",02-27008286,investor@lotuspharm.com,http://www.lotuspharm.com.tw,267043812,上市
1802,台灣玻璃工業股份有限公司,台玻,－ ,8,台北市松山區南京東路三段261號台玻大樓11樓,11914002,林伯豐,林伯實,林嘉明,財務總經理,"黃毓惠,黃中青",(02)2713-0333,19640825,19730720,新台幣                 10.0000元,29080608000,0,0,1,台灣玻璃工業公司 股務部,27130333#1326,105-405台北市松山區南京東路三段261號8樓,安永聯合會計師事務所,李育儒,黃建澤,TGI,"No.261, Sec. 3, Nanjing E. Rd., Songshan Dist.,Taipei City,105-405,Taiwan",(02)2715-0333,tgi@taiwanglass.com,www.taiwanglass.com,2908060800,上市
1805,寶徠建設股份有限公司,寶徠,－ ,14,台北市內湖區新湖一路303號4樓,12179563,林瑞山,林瑞山,黃文正,財務長,許子芳,02-27915688,19780630,19891020,新台幣                 10.0000元,1349704550,14000000,0,1,群益金鼎證券(股)公司股務代理部,02-27023999,台北市大安區敦化南路二段97號B2,安侯建業聯合會計師事務所,潘俊名,陳宗哲,BLG,"4F., No. 303, Xinhu 1st Rd., Neihu Dist., Taipei City 114 , Taiwan (R.O.C.)Taipei City 114, Taiwan (R.O.C.)",02-27919289,service＠blgroup.com.tw,https://blgroup.com.tw/,134970455,上市
1806,冠軍建材股份有限公司,冠軍,－ ,8,苗栗縣竹南鎮大埔里竹篙厝200-7號,49701774,林榮德,林祐宇,廖蕙儀,財務長,暫缺待補,037-583775,19721124,19920929,新台幣                 10.0000元,3904038700,0,0,1,永豐金證券(股)公司股務代理部,02-23816288,台北市博愛路17號3樓,安侯建業聯合會計師事務所,陳宗哲,池世欽,CHAMPION,"NO.200-7,Zhugaocuo,Dapu Li 13 Lin,Zhunan Town,Miaoli Hsien,Taiwan,R.O.C",037-583101,wenny@mail.champion.com.tw,http://group.champion.com.tw,390403870,上市
1808,潤隆建設股份有限公司,潤隆,－ ,14,台北市中山區樂群二路267號8樓,34149369,邱秉澤,林暐鈞,林暐鈞,總經理,盧佳茵,02-8501-5696,19770110,19941026,新台幣                 10.0000元,9922574930,0,0,1,群益金鼎證券(股)公司股務代理部,02-2702-3999,10601台北市大安區敦化南路二段97號B2,安侯建業聯合會計師事務所,韓沂璉,鄒依芸,RUN LONG,"No. 267-8, Lequn 2nd Rd., Zhongshan DistTaipei City 104, Taiwan (R.O.C.)",02-8501-5711,service@runlong.com.tw,www.runlong.com.tw,992257493,上市
